"","Query","Match","HMDB","PubChem","KEGG","SMILES","Comment","CAS.SMPDB","CAS.HMDB"
"85","sn-Glycero-3-phosphocholine","Glycerophosphocholine","HMDB0000086",71920,"C00670","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O",1,"28319-77-9","28319-77-9"
"86","Succinate","Succinic acid","HMDB0000254",1110,"C00042","C(CC(=O)O)C(=O)O",1,"110-15-6","110-15-6"
"87","Taurine","Taurine","HMDB0000251",1123,"C00245","C(CS(=O)(=O)O)N",1,"107-35-7","107-35-7"
"88","Thymidine","Thymidine","HMDB0000273",5789,"C00214","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O",1,"50-89-5","50-89-5"
"89","Thymine","Thymine","HMDB0000262",1135,"C00178","CC1=CNC(=O)NC1=O",1,"65-71-4","65-71-4"
"90","TTP","Thymidine 5'-triphosphate","HMDB0001342",64968,"C00459","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O",1,"365-08-2","365-08-2"
"91","UDP","Uridine 5'-diphosphate","HMDB0000295",6031,"C00015","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O",1,"58-98-0","58-98-0"
"92","UMP","Uridine 5'-monophosphate","HMDB0000288",6030,"C00105","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O",1,"58-97-9","58-97-9"
"93","Uracil","Uracil","HMDB0000300",1174,"C00106","C1=CNC(=O)NC1=O",1,"66-22-8","66-22-8"
"94","Ureidosuccinic acid","Ureidosuccinic acid","HMDB0000828",93072,"C00438","C([C@@H](C(=O)O)NC(=O)N)C(=O)O",1,"13184-27-5","13184-27-5"
"95","Uric acid","Uric acid","HMDB0000289",1175,"C00366","C12=C(NC(=O)N1)NC(=O)NC2=O",1,"69-93-2","69-93-2"
"96","Uridine","Uridine","HMDB0000296",6029,"C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O",1,"58-96-8","58-96-8"
"97","UTP","Uridine triphosphate","HMDB0000285",6133,"C00075","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O",1,"63-39-8","63-39-8"
"98","Xanthine","Xanthine","HMDB0000292",1188,"C00385","C1=NC2=C(N1)C(=O)NC(=O)N2",1,"69-89-6","69-89-6"
